id,title,houseIcon,dealDate,totalPrice,positionIcon,source,unitPrice,dealHouseTxt
1,东环居苑 1室1厅 56.99平米,南 | 其他 | 有电梯,2018.05.02,520,高楼层(共18层) 2004年建塔楼,链家成交,92857,733
2,和平里五区 2室1厅 63.75平米,南 北 | 精装 | 无电梯,2018.05.02,650,底层(共6层) 1996年建板楼,链家成交,103174,604
3,菊儿胡同 3室1厅 78.97平米,南 北 | 简装 | 无电梯,2018.05.02,1098,顶层(共3层) 1991年建板楼,链家成交,140769,725
4,车辇店胡同 1室1厅 54.15平米,南 西 | 其他,2018.05.02,575,高楼层(共11层) 板楼,链家成交,106481,717
5,安外花园 1室1厅 42.1平米,南 | 其他 | 无电梯,2018.05.02,400,顶层(共6层) 1990年建板楼,链家成交,95238,677
6,青年湖南里 2室1厅 60.58平米,南 | 其他,2018.05.02,545,中楼层(共12层) 1990年建板塔结合,链家成交,90833,624
7,景泰东里 1室1厅 52.13平米,东 | 精装 | 有电梯,2018.05.02,400,中楼层(共9层) 1994年建板塔结合,链家成交,76923,416
8,兴隆都市馨园 1室0厅 30.4平米,北 | 精装 | 有电梯,2018.05.02,320,中楼层(共7层) 2004年建塔楼,链家成交,106666,753
9,青年湖东里 2室1厅 61.2平米,南 北 | 精装 | 无电梯,2018.05.02,550,低楼层(共6层) 1994年建板楼,链家成交,90163,1076
10,左安漪园 4室1厅 146.41平米,东北 | 简装 | 有电梯,2018.05.02,1250,高楼层(共17层) 2004年建板塔结合,链家成交,85616,1133
11,营房西街 2室1厅 60.1平米,东 西 | 简装 | 无电梯,2018.05.02,480,中楼层(共6层) 1992年建板楼,链家成交,80000,741
12,京禧阁 2室1厅 119.14平米,西南 | 精装 | 有电梯,2018.05.02,1050,中楼层(共22层) 2013年建塔楼,链家成交,88235,946
13,和平里一区 2室1厅 38.03平米,南 北 | 其他 | 无电梯,2018.05.02,365,中楼层(共5层) 1983年建板楼,链家成交,96052,342
14,青年湖南街 1室1厅 52.49平米,东 西 | 简装 | 有电梯,2018.05.02,585,高楼层(共14层) 1996年建板塔结合,链家成交,112500,435
15,新奥洋房 1室0厅 41.44平米,东 | 精装 | 有电梯,2018.05.02,338,高楼层(共13层) 2006年建板塔结合,链家成交,82439,376
16,东棉花胡同 2室1厅 54.32平米,南 北 | 简装 | 无电梯,2018.05.02,660,低楼层(共6层) 1986年建板楼,链家成交,122222,488
17,光明楼 2室1厅 55.93平米,南 北 | 简装 | 无电梯,2018.05.02,503,顶层(共4层) 1987年建板楼,链家成交,91454,3000
18,城市亮点 1室0厅 45.52平米,北 | 简装 | 有电梯,2018.05.02,385,低楼层(共12层) 2003年建板塔结合,链家成交,85555,441
19,天天家园 2室1厅 112.12平米,东 北 | 精装 | 有电梯,2018.05.02,780,中楼层(共11层) 2002年建板塔结合,链家成交,69642,488
20,光明中街 2室1厅 54.25平米,东 西 | 精装,2018.04.19,485,底层(共6层) 1991年建板楼,链家成交,89814,1012
21,康鸿家园 3室1厅 155.4平米,南 北 | 精装 | 无电梯,2018.04.18,1499,高楼层(共6层) 2000年建板楼,链家成交,96709,943
22,广渠门外南街 3室1厅 90.13平米,西南 | 简装 | 有电梯,2018.04.17,640,低楼层(共12层) 1992年建板塔结合,链家成交,71111,584
23,察慈小区 1室1厅 44.49平米,东 | 简装 | 有电梯,2018.04.17,380,中楼层(共12层) 1992年建板塔结合,链家成交,86363,671
24,春秀路 2室1厅 57.68平米,南 北 | 简装 | 无电梯,2018.04.17,559,高楼层(共6层) 1998年建板楼,链家成交,98070,772
25,京禧阁 2室1厅 97.65平米,南 西 | 精装 | 有电梯,2018.04.16,900,高楼层(共22层) 2013年建塔楼,链家成交,92783,946
26,香河园北里 1室1厅 44.57平米,东 | 精装 | 有电梯,2018.04.16,420,中楼层(共14层) 1986年建板塔结合,链家成交,95454,1102
27,兴隆都市馨园 1室1厅 29.74平米,北 | 其他 | 有电梯,2018.04.16,320,高楼层(共7层) 2004年建塔楼,链家成交,110344,785
28,和平里二区 2室1厅 79.08平米,西 | 精装 | 有电梯,2018.04.15,760,中楼层(共20层) 2006年建塔楼,链家成交,96202,622
29,华府景园 2室1厅 104.5平米,南 | 精装 | 有电梯,2018.04.15,1070,低楼层(共12层) 2001年建板塔结合,链家成交,102884,3000
30,香河园街 2室1厅 71.85平米,南 | 精装 | 有电梯,2018.04.14,570,高楼层(共16层) 1990年建塔楼,链家成交,80281,93
31,贡院九号 2室2厅 156.83平米,北 | 精装 | 有电梯,2018.04.13,1300,中楼层(共18层) 2000年建板塔结合,链家成交,83333,3000
32,安化北里 1室1厅 36.66平米,南 | 精装,2018.04.13,400,中楼层(共5层) 1980年建板楼,链家成交,111111,237
33,安定门东大街 2室1厅 55.55平米,南 北 | 简装 | 无电梯,2018.04.10,600,底层(共6层) 1985年建板楼,链家成交,109090,3000
34,安外大街 1室1厅 46.83平米,东 | 精装 | 有电梯,2018.04.08,430,中楼层(共16层) 1994年建塔楼,链家成交,93478,3000
35,灯市口西街 3室1厅 83.78平米,南 西 北 | 简装 | 无电梯,2018.04.08,890,低楼层(共6层) 1989年建板楼,链家成交,107228,3000
36,民旺园 2室1厅 58.85平米,南 北 | 简装 | 无电梯,2018.04.08,580,中楼层(共5层) 1985年建板楼,链家成交,100000,3000
37,小黄庄一区 1室1厅 41.3平米,东 南 | 精装 | 无电梯,2018.04.08,429,高楼层(共6层) 1992年建板楼,链家成交,104634,1148
38,仓南胡同 2室1厅 68.31平米,南 北 | 其他,2018.04.07,906,中楼层(共6层) 2003年建板楼,链家成交,133235,3000
39,六铺炕 2室1厅 62.32平米,西北 | 其他 | 有电梯,2018.04.07,670,低楼层(共16层) 1992年建塔楼,链家成交,108064,3000
40,青年湖南里 2室1厅 55.6平米,南 北 | 简装,2018.04.07,500,中楼层(共12层) 1990年建板塔结合,链家成交,90909,3000
41,铜厂子胡同 3室1厅 65.6平米,南 北 | 简装 | 无电梯,2018.04.07,620,中楼层(共5层) 1979年建板楼,链家成交,95384,3000
42,和平里三区 2室1厅 56.62平米,南 北 | 精装 | 无电梯,2018.04.06,630,中楼层(共6层) 1996年建板楼,链家成交,112500,3000
43,东厂胡同 1室1厅 42.82平米,东 | 精装 | 无电梯,2018.04.06,485,中楼层(共5层) 1987年建板楼,链家成交,115476,3000
44,火桥北里 3室1厅 67.38平米,南 西 | 其他 | 无电梯,2018.04.04,490,中楼层(共6层) 1981年建塔楼,链家成交,73134,3000
45,东直门南大街 2室1厅 57.14平米,东 | 简装 | 有电梯,2018.04.02,545,中楼层(共18层) 1990年建板塔结合,链家成交,95614,3000
46,京禧阁 4室2厅 155.65平米,东北 | 其他 | 有电梯,2018.04.02,1300,中楼层(共22层) 2013年建塔楼,链家成交,83870,3000
47,青年湖南街 2室1厅 70.66平米,东 西 | 简装 | 有电梯,2018.03.30,780,顶层(共14层) 1996年建板塔结合,链家成交,111428,3000
48,太华公寓 1室1厅 107.22平米,南 | 精装 | 有电梯,2018.03.29,760,中楼层(共17层) 2000年建塔楼,链家成交,71028,3000
49,交道口北三条 2室1厅 54.53平米,南 北 | 精装 | 无电梯,2018.03.29,598,顶层(共6层) 1990年建板楼,链家成交,110740,3000
50,灯市口西街 1室1厅 45.73平米,南 | 简装,2018.03.28,505,低楼层(共6层) 1989年建板楼,链家成交,112222,3000
51,南岗子 2室1厅 50.87平米,南 | 毛坯 | 无电梯,2018.03.26,425,高楼层(共6层) 1978年建板楼,链家成交,85000,3000
52,金鱼池中区 3室1厅 108.36平米,东 西 | 简装 | 无电梯,2018.03.25,760,顶层(共4层) 2002年建板塔结合,链家成交,70370,539
53,东花市北里西区 2室1厅 61.99平米,西 | 精装 | 无电梯,2018.03.25,586,高楼层(共6层) 1995年建塔楼,链家成交,96065,3000
54,青年湖北里 2室1厅 54.47平米,南 北 | 简装 | 无电梯,2018.03.24,490,高楼层(共6层) 1987年建板楼,链家成交,90740,3000
55,郭庄北里 1室1厅 41.34平米,南 | 简装 | 无电梯,2018.03.21,330,中楼层(共6层) 1982年建板楼,链家成交,80487,3000
56,东方银座 1室1厅 57.78平米,北 | 精装 | 有电梯,2018.03.21,530,中楼层(共25层) 2003年建塔楼,链家成交,92982,274
57,新景家园东区 1室1厅 29.52平米,西 | 其他 | 有电梯,2018.03.21,413,低楼层(共15层) 2008年建板塔结合,链家成交,142413,379
58,保利蔷薇 1室1厅 56.94平米,东南 | 精装 | 有电梯,2018.03.19,630,高楼层(共16层) 2008年建板塔结合,链家成交,112500,610
59,京禧阁 2室2厅 127.28平米,东南 | 简装 | 有电梯,2018.03.19,1145,高楼层(共22层) 2013年建塔楼,链家成交,90157,3000
60,金鱼池中区 2室1厅 72.31平米,南 北 | 其他,2018.03.15,700,低楼层(共6层) 2002年建板塔结合,链家成交,97222,419
61,地坛北里 2室1厅 83.51平米,南 北 | 其他 | 有电梯,2018.03.15,830,中楼层(共13层) 1999年建板塔结合,链家成交,100000,472
62,小黄庄一区 2室1厅 72.44平米,南 | 简装,2018.03.14,637,低楼层(共21层) 1990年建板塔结合,链家成交,88472,3000
63,琉璃井东街 2室1厅 57.24平米,南 北 | 简装 | 无电梯,2018.03.14,460,低楼层(共6层) 1983年建板楼,链家成交,80701,677
64,地坛北里 1室1厅 73.05平米,东 | 简装 | 有电梯,2018.03.08,610,中楼层(共13层) 1999年建板塔结合,链家成交,83561,3000
65,东花市北里东区 3室2厅 94.66平米,南 北 | 精装 | 无电梯,2018.03.07,890,高楼层(共6层) 1991年建板楼,链家成交,94680,803
66,化工大院 1室1厅 46.78平米,南 | 精装,2018.03.07,460,中楼层(共7层) 1998年建板楼,链家成交,100000,341
67,花市枣苑二期 1室0厅 41.7平米,西 | 精装 | 有电梯,2018.03.06,450,中楼层(共19层) 2004年建塔楼,链家成交,109756,3000
68,湖景苑 3室2厅 168.85平米,东 西 | 精装 | 有电梯,2018.03.04,1800,顶层(共8层) 1999年建板塔结合,链家成交,107142,755
69,兴化西里 4室1厅 86.67平米,南 北 | 其他 | 无电梯,2018.02.28,720,中楼层(共4层) 1976年建板楼,链家成交,83720,772
70,禄米仓胡同 2室1厅 73.6平米,南 北 | 精装,2018.02.26,950,顶层(共4层) 2003年建板楼,链家成交,130136,3000
71,西青年沟 2室1厅 53.75平米,南 | 其他 | 无电梯,2018.02.24,467,顶层(共6层) 1987年建板楼,链家成交,88113,759
72,新中西街 2室1厅 58.61平米,南 北 | 其他,2018.02.12,500,中楼层(共7层) 1990年建板楼,链家成交,86206,3000
74,广渠家园 2室2厅 71.54平米,西 | 精装 | 有电梯,2018.02.07,580,中楼层(共29层) 2009年建板塔结合,链家成交,81690,543
75,东直门内大街 2室1厅 80.44平米,南 西 | 精装 | 有电梯,2018.02.06,800,高楼层(共16层) 2002年建塔楼,链家成交,100000,476
76,丽水湾畔家园 3室2厅 146.77平米,西南 | 精装 | 有电梯,2018.02.06,1218,低楼层(共21层) 2002年建塔楼,链家成交,83424,3000
77,李村 3室1厅 68.21平米,南 北 | 毛坯 | 无电梯,2018.02.04,490,低楼层(共6层) 1981年建板楼,链家成交,72058,492
78,小黄庄一区 1室1厅 41.23平米,东 | 精装,2018.02.04,425,低楼层(共6层) 1994年建板楼,链家成交,103658,3000
79,天坛东里南区 2室1厅 47.17平米,南 | 简装 | 有电梯,2018.02.04,370,中楼层(共11层) 1998年建板塔结合,链家成交,78723,953
80,竹杆胡同 1室1厅 56.6平米,西 | 其他 | 有电梯,2018.01.31,570,中楼层(共9层) 2003年建板楼,链家成交,101785,293
82,华龙美晟 2室1厅 85.45平米,东 | 精装 | 有电梯,2018.01.31,590,高楼层(共12层) 2009年建板塔结合,链家成交,69411,3000
83,胡家园小区 1室1厅 38.45平米,东南 | 精装,2018.01.29,335,低楼层(共20层) 1992年建塔楼,链家成交,88157,3000
84,兴隆都市馨园 1室1厅 31.5平米,东 | 其他 | 有电梯,2018.01.28,330,高楼层(共7层) 2004年建塔楼,链家成交,106451,579
85,小黄庄二区 3室2厅 111.49平米,南 北 | 其他 | 有电梯,2018.01.28,998,中楼层(共12层) 1996年建板塔结合,链家成交,89909,834
86,和平里七区 1室1厅 52.77平米,东 西 | 精装 | 无电梯,2018.01.27,460,底层(共6层) 1995年建板楼,链家成交,88461,150
87,新景家园东区 1室1厅 59.18平米,西 | 精装 | 有电梯,2018.01.26,598,低楼层(共17层) 2005年建板塔结合,链家成交,101355,536
88,光明楼 2室1厅 66.8平米,南 北 | 精装 | 无电梯,2018.01.26,550,中楼层(共4层) 1958年建板楼,链家成交,83333,3000
89,元嘉国际公寓 2室1厅 117.2平米,南 北 | 精装 | 有电梯,2018.01.23,1080,中楼层(共10层) 2003年建塔楼,链家成交,92307,441
90,幸福南里 1室1厅 41.44平米,南 北 | 其他 | 无电梯,2018.01.23,410,底层(共5层) 1975年建板楼,链家成交,100000,3000
91,北官厅胡同甲二号院 2室1厅 64.31平米,南 北 | 简装,2018.01.22,620,顶层(共6层) 1993年建板楼,链家成交,96875,3000
92,新景家园东区 2室1厅 83.69平米,东 西 | 精装 | 有电梯,2018.01.22,890,中楼层(共17层) 2005年建板塔结合,链家成交,107228,3000
93,龙潭北里八条 2室1厅 56.92平米,南 北 | 简装 | 无电梯,2018.01.21,510,底层(共5层) 1963年建板楼,链家成交,91071,3000
94,新景家园东区 1室0厅 31.2平米,西 | 其他 | 有电梯,2018.01.21,398,高楼层(共15层) 2008年建板塔结合,链家成交,128387,447
95,土儿胡同 3室2厅 121.01平米,南 北 | 简装 | 无电梯,2018.01.20,1290,顶层(共6层) 2002年建板楼,链家成交,106611,3000
96,新景家园东区 1室1厅 56.16平米,南 | 精装 | 有电梯,2018.01.14,620,中楼层(共13层) 2005年建板塔结合,链家成交,110714,549
97,六铺炕 2室1厅 51.95平米,西南 | 简装 | 有电梯,2018.01.14,580,底层(共16层) 1992年建塔楼,链家成交,113725,3000
98,地兴居 2室1厅 55.52平米,南 | 简装,2018.01.13,493,中楼层(共6层) 1970年建板楼,链家成交,89636,541
99,北竹杆胡同 2室1厅 73.78平米,东 南 北 | 精装 | 无电梯,2018.01.10,785,高楼层(共6层) 2003年建板楼,链家成交,107534,367
100,国瑞城中区 1室1厅 52.13平米,西 | 精装 | 有电梯,2018.01.08,500,中楼层(共16层) 2006年建板塔结合,链家成交,96153,830
101,华龙美晟 2室1厅 83.93平米,西 | 精装 | 有电梯,2018.01.07,587,低楼层(共12层) 2009年建板塔结合,链家成交,70722,3000
102,小黄庄一区 2室1厅 70.01平米,南 | 其他,2018.01.06,680,低楼层(共21层) 1990年建板塔结合,链家成交,97142,1064
103,景泰东里 2室1厅 67.11平米,南 北 | 精装,2018.01.05,486,低楼层(共9层) 1994年建板塔结合,链家成交,72537,416
104,新景家园西区 1室1厅 59.3平米,南 | 精装 | 有电梯,2018.01.04,585,高楼层(共16层) 2004年建板楼,链家成交,99152,415
105,和平里七区 1室1厅 38.5平米,南 | 简装 | 无电梯,2018.01.03,361,中楼层(共4层) 1979年建板楼,链家成交,95000,88
106,新景家园西区 1室1厅 78.32平米,南 | 精装 | 有电梯,2017.12.25,860,中楼层(共9层) 2013年建板楼,链家成交,110256,3000
107,夕照寺中街 2室1厅 61.26平米,南 北 | 简装 | 无电梯,2017.12.25,540,中楼层(共7层) 1991年建板楼,链家成交,88524,1078
108,富贵园一区 2室1厅 85.6平米,南 北 | 精装,2017.12.24,1050,低楼层(共11层) 2004年建板楼,链家成交,123529,3000
109,安外花园 1室1厅 37.11平米,南 | 精装 | 无电梯,2017.12.22,360,顶层(共5层) 1986年建板楼,链家成交,97297,3000
110,东环广场 2室1厅 173.01平米,东 | 精装 | 有电梯,2017.12.21,1500,中楼层(共30层) 1999年建塔楼,链家成交,86705,3000
111,新奥洋房 1室0厅 47.7平米,北 | 简装 | 有电梯,2017.12.19,365,中楼层(共11层) 2006年建板楼,链家成交,77659,474
113,景泰东里 2室1厅 61.82平米,南 北 | 精装 | 无电梯,2017.12.11,445,低楼层(共6层) 1994年建板楼,链家成交,72950,554
114,广渠门外南街 2室1厅 56.84平米,南 北 | 简装 | 无电梯,2017.12.11,330,地下室(共6层) 1991年建板楼,链家成交,58928,617
115,本家润园一期 2室1厅 104.4平米,南 | 精装 | 有电梯,2017.12.11,1230,顶层(共11层) 2005年建板楼,链家成交,118269,500
116,阳光都市 3室2厅 175.48平米,东北 | 精装 | 有电梯,2017.12.10,1620,中楼层(共24层) 2000年建塔楼,链家成交,92571,722
117,海运仓小区 2室1厅 64.45平米,东 西 | 精装 | 有电梯,2017.12.09,710,中楼层(共8层) 2002年建板楼,链家成交,110937,3000
118,化工大院 3室1厅 95.41平米,南 北 | 精装,2017.12.08,980,低楼层(共7层) 1998年建板楼,链家成交,103157,341
119,绿景馨园 3室1厅 53.49平米,南 北 | 精装 | 无电梯,2017.12.08,575,顶层(共6层) 2004年建板楼,链家成交,108490,825
120,胡家园小区 1室1厅 38.07平米,东南 | 简装 | 有电梯,2017.12.07,350,中楼层(共20层) 1992年建塔楼,链家成交,92105,3000
121,灯市口西街 3室1厅 77.07平米,南 北 | 精装 | 无电梯,2017.12.05,850,底层(共6层) 1989年建板楼,链家成交,110389,955
122,水上华城 3室2厅 165.81平米,南 北 | 精装 | 有电梯,2017.12.05,1720,中楼层(共23层) 2005年建板塔结合,链家成交,104242,3000
123,小黄庄二区 2室1厅 58.53平米,南 北 | 精装 | 无电梯,2017.12.01,488,顶层(共6层) 1995年建板楼,链家成交,84137,3000
124,大方家胡同 1室1厅 49.9平米,南 | 精装 | 无电梯,2017.11.28,635,低楼层(共6层) 2003年建板楼,链家成交,129591,3000
125,天利园 1室1厅 66.24平米,西南 | 简装 | 有电梯,2017.11.27,610,高楼层(共16层) 2003年建板楼,链家成交,92424,378
126,青年湖南街 1室1厅 52.09平米,南 北 | 简装 | 有电梯,2017.11.26,595,低楼层(共14层) 1996年建板塔结合,链家成交,114423,3000
127,法华南里 1室1厅 52.34平米,南 | 精装 | 无电梯,2017.11.26,450,顶层(共6层) 1993年建板楼,链家成交,86538,943
128,远洋德邑 2室1厅 110.95平米,东 北 | 其他 | 有电梯,2017.11.18,960,中楼层(共22层) 2002年建塔楼,链家成交,87272,208
129,本家润园三期 1室1厅 48.94平米,北 | 简装 | 有电梯,2017.11.16,462,中楼层(共18层) 2005年建板塔结合,链家成交,96250,3000
130,灯市口大街 2室1厅 68.36平米,南 | 简装 | 有电梯,2017.11.14,780,高楼层(共11层) 1990年建板塔结合,链家成交,114705,248
131,景泰西里西区 2室1厅 76.93平米,南 北 | 精装 | 有电梯,2017.11.10,535,中楼层(共10层) 2005年建板塔结合,链家成交,70394,3000
132,华龙美晟 2室1厅 60.26平米,北 | 精装 | 有电梯,2017.11.08,425,低楼层(共12层) 2009年建板塔结合,链家成交,70833,609
133,广渠家园 2室1厅 63.75平米,东 西 | 精装 | 有电梯,2017.11.08,600,高楼层(共18层) 2009年建板楼,链家成交,95238,3000
134,保利蔷薇 1室1厅 60.66平米,北 | 精装 | 有电梯,2017.11.06,600,中楼层(共16层) 2008年建板塔结合,链家成交,100000,3000
135,桃杨路北里 2室1厅 57.3平米,东 西 | 简装 | 无电梯,2017.11.06,429,高楼层(共6层) 1987年建板楼,链家成交,75263,600
136,北官厅胡同 1室1厅 43.59平米,南 | 精装 | 有电梯,2017.11.05,560,高楼层(共16层) 1993年建塔楼,链家成交,130232,860
137,安外花园 1室1厅 45.45平米,南 北 | 精装 | 有电梯,2017.11.04,449,高楼层(共12层) 1992年建板楼,链家成交,99777,521
138,新景家园西区 1室1厅 56.92平米,南 | 简装 | 有电梯,2017.10.30,560,低楼层(共16层) 2004年建板塔结合,链家成交,100000,311
139,金世纪嘉园 1室1厅 65.74平米,西北 | 简装 | 有电梯,2017.10.29,558,高楼层(共21层) 2004年建塔楼,链家成交,85846,1102
140,金桥国际 1室1厅 66.5平米,南 | 精装 | 有电梯,2017.10.27,660,高楼层(共27层) 2004年建塔楼,链家成交,100000,3000
141,中海紫御公馆 2室1厅 60.57平米,西北 | 精装,2017.10.27,630,高楼层(共19层) 2010年建板塔结合,链家成交,105000,3000
142,新中西街 3室1厅 77.8平米,东 | 精装 | 无电梯,2017.10.23,705,中楼层(共7层) 1990年建板楼,链家成交,91558,3000
143,抽屉胡同 2室1厅 58.15平米,南 | 精装 | 无电梯,2017.10.22,618,中楼层(共7层) 1980年建板楼,链家成交,106551,339
144,金世纪嘉园 2室1厅 112平米,西南 北 | 精装 | 有电梯,2017.10.22,900,低楼层(共21层) 2003年建塔楼,链家成交,80357,3000
145,景泰西里西区 1室1厅 60.29平米,南 | 精装 | 有电梯,2017.10.17,428,底层(共10层) 2005年建板塔结合,链家成交,71333,600
146,和平里五区 1室1厅 40.98平米,西南 | 其他 | 无电梯,2017.10.17,432,底层(共6层) 1996年建板楼,链家成交,108000,626
147,广渠家园 1室1厅 49.45平米,西 | 精装 | 有电梯,2017.10.07,436,高楼层(共18层) 2009年建板楼,链家成交,88979,3000
148,水上华城 1室1厅 67.5平米,西 | 精装 | 有电梯,2017.09.30,695,中楼层(共22层) 2006年建板塔结合,链家成交,103731,3000
149,兴隆都市馨园 1室0厅 27.86平米,南 | 简装 | 有电梯,2017.09.24,340,中楼层(共7层) 2004年建塔楼,链家成交,125925,3000
150,和平新城一期 1室1厅 55.74平米,北 | 精装 | 有电梯,2017.09.22,580,低楼层(共20层) 2003年建板塔结合,链家成交,105454,989
151,左安浦园 1室0厅 49.36平米,北 | 精装 | 有电梯,2017.09.21,398,中楼层(共16层) 2004年建板塔结合,链家成交,81224,1110
152,左安浦园 2室1厅 52.66平米,西 | 精装 | 有电梯,2017.09.16,500,中楼层(共14层) 2004年建板楼,链家成交,96153,1077
153,法华南里 1室1厅 42.73平米,南 | 精装 | 无电梯,2017.09.16,430,中楼层(共6层) 1996年建板楼,链家成交,102380,664
154,龙潭西里 1室1厅 56.33平米,南 北 | 精装 | 无电梯,2017.09.15,465,中楼层(共6层) 2000年建板楼,链家成交,83035,579
155,大草厂胡同 2室1厅 48.48平米,南 北 | 简装 | 无电梯,2017.09.15,520,中楼层(共5层) 1987年建板楼,链家成交,108333,3000
156,草园胡同 2室1厅 63.8平米,东 西 | 简装 | 无电梯,2017.09.14,640,底层(共6层) 1993年建板楼,链家成交,101587,684
157,新景家园东区 3室1厅 92.58平米,东 西 | 简装 | 有电梯,2017.09.14,910,高楼层(共17层) 2004年建板楼,链家成交,98913,733
158,青年湖南街 3室1厅 78.97平米,南 西 北 | 毛坯 | 有电梯,2017.09.13,945,低楼层(共14层) 1996年建板塔结合,链家成交,121153,3000
159,安定路 1室1厅 43.39平米,东 | 精装 | 有电梯,2017.09.13,418,中楼层(共20层) 1995年建塔楼,链家成交,97209,831
160,民安小区东直门北中街 2室1厅 71.17平米,东 | 精装 | 有电梯,2017.09.12,815,中楼层(共11层) 2002年建板塔结合,链家成交,114788,621
161,京禧阁 4室1厅 155.65平米,西北 | 精装 | 有电梯,2017.09.08,1350,顶层(共22层) 2013年建塔楼,链家成交,87096,3000
162,景泰西里 1室1厅 36.56平米,东 | 简装 | 无电梯,2017.09.07,305,中楼层(共6层) 1982年建板楼,链家成交,84722,487
163,仓南胡同 2室1厅 82.01平米,东 南 西 | 简装 | 无电梯,2017.09.03,925,底层(共4层) 板楼,链家成交,112804,3000
164,赵堂子胡同 2室1厅 57.77平米,南 北 | 精装 | 无电梯,2017.08.31,599,低楼层(共6层) 1989年建板楼,链家成交,105087,1003
165,灯市口大街 3室1厅 78.09平米,南 | 精装 | 有电梯,2017.08.29,880,中楼层(共11层) 1990年建板塔结合,链家成交,112820,248
166,建予园 2室1厅 83.81平米,南 | 精装 | 有电梯,2017.08.28,625,中楼层(共16层) 1999年建塔楼,链家成交,75301,668
167,中海紫御公馆 2室1厅 63.71平米,东北 | 精装 | 有电梯,2017.08.27,675,中楼层(共23层) 2010年建板塔结合,链家成交,107142,3000
168,海运仓小区 3室1厅 82.95平米,南 北 | 简装 | 无电梯,2017.08.23,986,底层(共6层) 2002年建板楼,链家成交,120243,3000
169,中景濠庭 3室1厅 161.57平米,南 北 | 精装 | 有电梯,2017.08.20,1580,中楼层(共22层) 2002年建塔楼,链家成交,98136,3000
170,东直门内大街 2室1厅 64.67平米,南 北 | 其他 | 有电梯,2017.08.19,710,中楼层(共12层) 2002年建板楼,链家成交,110937,548
171,青年湖北街 2室2厅 73.24平米,东南 | 简装 | 有电梯,2017.08.18,850,中楼层(共18层) 1997年建塔楼,链家成交,116438,3000
172,新中西街 1室1厅 40.36平米,南 | 毛坯 | 无电梯,2017.08.16,330,底层(共7层) 1990年建板楼,链家成交,82500,581
173,东花市北里中区 2室1厅 57.75平米,南 北 | 其他 | 无电梯,2017.08.11,595,低楼层(共6层) 1994年建板楼,链家成交,104385,748
174,华冠丽景 2室2厅 118.58平米,南 北 | 其他 | 有电梯,2017.08.03,1450,中楼层(共7层) 2003年建板楼,链家成交,122881,907
175,东营房八条 2室1厅 46.46平米,南 | 简装 | 无电梯,2017.08.03,470,底层(共6层) 1980年建板楼,链家成交,102173,760
176,和平里七区 1室1厅 45.83平米,南 | 其他 | 无电梯,2017.07.31,505,中楼层(共6层) 1995年建板楼,链家成交,112222,150
177,冠城名敦道 1室0厅 52.35平米,西 | 精装 | 有电梯,2017.07.29,450,高楼层(共23层) 2009年建塔楼,链家成交,86538,3000
178,安乐林二条 2室1厅 77.58平米,南 北 | 简装 | 无电梯,2017.07.29,545,中楼层(共6层) 1990年建板楼,链家成交,70779,3000
179,广渠家园 2室1厅 62.34平米,东 西 | 精装 | 有电梯,2017.07.27,640,高楼层(共18层) 2009年建板楼,链家成交,103225,3000
180,中海紫御公馆 4室2厅 205.36平米,南 北 | 精装 | 有电梯,2017.07.25,2300,低楼层(共21层) 2010年建板塔结合,链家成交,112195,3000
181,东环居苑 1室1厅 60.57平米,南 | 精装 | 有电梯,2017.07.20,740,中楼层(共22层) 2004年建塔楼,链家成交,123333,854
182,新景家园东区 1室0厅 27.38平米,西 | 精装 | 有电梯,2017.07.16,410,中楼层(共15层) 2008年建板塔结合,链家成交,151851,447
183,青年沟 1室1厅 41.37平米,南 | 简装 | 无电梯,2017.07.14,413,中楼层(共6层) 1996年建板楼,链家成交,100731,592
184,兴隆都市馨园 1室0厅 29.4平米,北 | 精装 | 有电梯,2017.07.10,379,低楼层(共7层) 2004年建塔楼,链家成交,130689,3000
185,本家润园三期 1室1厅 46.6平米,北 | 简装 | 有电梯,2017.07.09,500,高楼层(共18层) 2005年建板塔结合,链家成交,108695,3000
186,中海紫御公馆 1室1厅 63.89平米,西北 | 精装 | 有电梯,2017.07.03,700,低楼层(共19层) 2010年建板塔结合,链家成交,111111,3000
187,新奥洋房 2室1厅 98平米,东 西 | 简装 | 有电梯,2017.06.30,790,低楼层(共9层) 2005年建板塔结合,链家成交,80612,3000
188,豆瓣胡同 1室1厅 47.99平米,东 | 精装 | 有电梯,2017.06.28,715,高楼层(共21层) 2003年建板楼,链家成交,152127,632
189,清水苑 1室1厅 50.48平米,南 北 | 精装 | 无电梯,2017.06.28,495,顶层(共6层) 1995年建板楼,链家成交,99000,3000
190,国瑞城中区 2室1厅 84.25平米,东 西 | 其他 | 有电梯,2017.06.26,835,低楼层(共16层) 2006年建板塔结合,链家成交,99404,830
191,永定门外大街 2室1厅 53.82平米,东 西 | 简装 | 无电梯,2017.06.24,400,低楼层(共6层) 1982年建板楼,链家成交,75471,378
192,北官厅胡同 1室1厅 35.44平米,南 | 简装,2017.06.19,530,底层(共6层) 板楼,链家成交,151428,1011
193,朝阳首府 2室1厅 87.66平米,西 | 精装 | 有电梯,2017.06.16,980,中楼层(共15层) 2009年建塔楼,链家成交,112643,102
